Round,Player,Pegs,Disks,Moves,Optimal Moves,Time Taken (s),Recursive Time (s),Iterative Time (s),Solved,Efficiency (%),Date,Efficiency Note
1,jane,3,7,138,127,53.09,0.000059,0.000142,Yes,92.0,2025-12-15T06:23:08.158629,3-peg solution (Excellent)
2,suna,3,6,67,63,105.05,0.000039,0.000098,No,94.0,2025-12-15T06:25:24.842236,3-peg solution (Incomplete)
3,kassy,4,6,21,17,8.21,0.000023,0.000052,Yes,81.0,2025-12-15T06:26:21.719278,4-peg solution (Good)
4,dave,4,10,261,49,74.61,0.000115,0.000257,Yes,18.8,2025-12-15T06:27:53.712576,4-peg solution
5,hailey,3,10,1023,1023,268.46,0.000397,0.001173,Yes,100.0,2025-12-15T06:32:42.467127,3-peg solution (Perfect!)
6,jane,3,6,63,63,20.96,0.000026,0.000068,Yes,100.0,2025-12-15T06:35:21.310683,3-peg solution (Perfect!)
7,kai,4,5,13,13,29.68,0.000015,0.000031,Yes,100.0,2025-12-15T06:36:44.354147,4-peg solution (Perfect!)
8,liam22,4,9,41,41,15.14,0.000403,0.000070,Yes,100.0,2025-12-15T06:40:31.232581,4-peg solution (Perfect!)
9,noah,4,8,69,33,24.92,0.000039,0.000095,Yes,47.8,2025-12-15T06:43:02.492457,4-peg solution
10,amare,4,6,21,17,9.37,0.000020,0.000043,Yes,81.0,2025-12-15T06:43:31.894937,4-peg solution (Good)
11,su,3,9,511,511,135.63,0.000175,0.000487,Yes,100.0,2025-12-15T06:46:30.576271,3-peg solution (Perfect!)
12,suna,4,6,21,17,7.69,0.000020,0.000043,Yes,81.0,2025-12-15T06:47:04.666794,4-peg solution (Good)
13,june,3,6,63,63,19.35,0.000029,0.000072,Yes,100.0,2025-12-15T06:48:00.142816,3-peg solution (Perfect!)
14,hana,4,7,30,25,57.66,0.000020,0.000058,Yes,83.3,2025-12-15T06:49:32.422489,4-peg solution (Excellent)
15,jj,4,8,33,33,47.00,0.000050,0.000086,Yes,100.0,2025-12-15T06:55:10.666022,4-peg solution (Perfect!)
